time_step,sat_name,elevation,distance,snr
0,STARLINK-32015,51.90054982324736,591.4593287265467,35.32793127328604
0,STARLINK-11105 [DTC],57.66538584377806,421.1354415360817,34.10217830866336
0,STARLINK-11501 [DTC],27.17064014683665,711.8312475277529,33.411927949883335
0,STARLINK-4508,68.69255560155996,575.8161115742488,33.09734859617476
0,STARLINK-5574,37.572811803682946,860.5565669658549,32.60073367969932
0,STARLINK-30864,48.58057936733607,722.2727841036633,32.2244062895971
0,STARLINK-30772,63.637750715973745,617.0367236504276,31.935412056514043
0,STARLINK-35095,39.600517639234376,670.2603187233724,31.532266483982063
0,STARLINK-33535,69.76498177832464,511.7463427031791,31.040227992352825
0,STARLINK-32393,29.046006660940378,900.406639991316,30.814439631659223
0,STARLINK-2092,46.42231327300292,729.961375271524,30.189166232451967
0,STARLINK-1328,30.03564337299313,702.1751573453253,30.05231605366426
0,STARLINK-3909,40.37218344039705,792.1087335000834,30.036155027672244
0,STARLINK-3297,29.574188899959008,984.6694052970618,29.947566159877187
0,STARLINK-31212,32.308653871337164,834.0354911031128,29.458003496326487
0,STARLINK-30132,49.840687560043875,710.8181628081584,29.279490213247776
0,STARLINK-31936,48.7912739950044,625.3066367392124,29.258241160747527
0,STARLINK-5376,35.3088235373797,899.6146690618089,29.074579314240623
0,STARLINK-34609,34.58857078409093,739.575641441929,28.9009039515769
0,STARLINK-34612,42.04412943759874,681.3922813720085,28.789109633652473
0,STARLINK-34855,31.44033767736723,792.0925547004143,28.409765649957695
0,STARLINK-5495,46.40192155892632,765.2355428963214,28.37344077220466
0,STARLINK-3862,51.73212990058195,671.577718457427,28.3646657751953
0,STARLINK-4589,53.7154939504494,655.8504835850378,28.19237463638094
0,STARLINK-33696,25.974090818934744,973.0543661214571,27.991331220077182
0,STARLINK-6097,26.57697777837962,1093.0606474478175,27.77331912332296
0,STARLINK-4494,29.564584496388402,986.199279020185,27.7595296166802
0,STARLINK-34258,26.725835333800752,941.3538952609741,27.70824722982585
0,STARLINK-6134,37.30527438781401,865.4643162246944,27.31506782698092
0,STARLINK-5385,26.937554715522705,1082.8470087877824,27.296733534479223
0,STARLINK-30826,27.30234318768207,1074.5823307389417,26.864001423373963
0,STARLINK-33606,30.493820551272695,869.8743537011202,26.10068917341399
0,STARLINK-3994,38.747171637187876,815.655164414496,25.984086714756
0,STARLINK-6342,31.124821947540507,1007.4982030230708,25.965115881820385
0,STARLINK-2391,26.501703065401063,1075.6461677001766,24.815673106062192
0,STARLINK-3868,25.578222325302008,1087.142760436373,23.815863707722208
1,STARLINK-11105 [DTC],58.06659267653349,419.4188208800144,34.801495368973136
1,STARLINK-33535,70.0015951378677,511.03162606844427,34.07631326421247
1,STARLINK-30772,63.146559009996714,619.4290574161876,33.46215246439239
1,STARLINK-34855,31.70139368574224,787.3551088730611,32.6833952644148
1,STARLINK-32015,51.77320619633764,592.3855219313198,31.807361566469176
1,STARLINK-2092,46.830438333551356,725.7294527896113,31.452694361727524
1,STARLINK-35095,39.89069573762909,666.7601251865942,31.29176303178468
1,STARLINK-11501 [DTC],27.358309201407597,708.1962171989884,31.271981991394416
1,STARLINK-1328,29.731169986520314,707.5226330974597,30.92742649564215
1,STARLINK-4508,68.03779088022344,578.2007004267571,30.815134879499848
1,STARLINK-34612,41.66015729199118,685.7969931492335,30.753415919988246
1,STARLINK-31936,48.355285669578,629.0332841660168,30.55766066720464
1,STARLINK-3909,40.60391172587803,788.9662688583411,30.46789439684804
1,STARLINK-34609,34.63226964065743,738.8942169807298,30.396745660704187
1,STARLINK-31212,32.617809682956505,828.3672651739447,30.363971171779493
1,STARLINK-5495,46.33441114939182,765.967096247317,30.318410314494333
1,STARLINK-30864,48.81693984902794,720.0046396329152,30.269279859137797
1,STARLINK-4589,53.80121364747395,655.2113311971852,29.947318186216503
1,STARLINK-6134,37.03010548699069,869.9538550947959,29.6734858104361
1,STARLINK-3862,51.569407224506776,672.9099702474692,29.520893844064947
1,STARLINK-30132,49.997739822156,709.3910290455669,29.400253286988814
1,STARLINK-34258,26.968923320260757,935.423616876415,29.08390066057234
1,STARLINK-5574,37.38825595270623,863.5241365077878,28.648209937119177
1,STARLINK-3994,39.104478987957236,810.434723997711,28.534231865870098
1,STARLINK-32393,29.060028983881146,900.102804531307,28.485053991239347
1,STARLINK-33606,30.21983834442626,875.4764513677305,28.479049369563516
1,STARLINK-2391,26.662189067311633,1071.277733493903,28.301197467898916
1,STARLINK-6342,31.029301838356822,1009.641320113629,28.125170517406513
1,STARLINK-33696,25.91004725765259,974.7195886184328,28.118971074889497
1,STARLINK-30826,27.448184922465817,1070.7185972375871,27.914156787401748
1,STARLINK-3868,25.464388068607118,1090.3848085400182,27.361926898634028
1,STARLINK-3297,29.601897500307093,984.0286634162228,27.112017302481355
1,STARLINK-6097,26.770972384499984,1087.7433106098786,26.82120828424664
1,STARLINK-5376,35.273354255271016,900.2443259443053,26.793536929043906
1,STARLINK-4494,29.339914031099543,991.420600658341,25.79689843038037
1,STARLINK-5385,26.722247615001137,1088.6996456527515,23.856501858894347
2,STARLINK-30772,62.653673547696606,621.8890433580559,34.153884291470426
2,STARLINK-11105 [DTC],58.44747621453516,417.81903205687604,34.151368516278964
2,STARLINK-31936,47.921508543208255,632.8150279616694,33.21324868528716
2,STARLINK-33535,70.20947254830345,510.4116467769806,33.199314534330895
2,STARLINK-35095,40.18009721087186,663.3174805442841,32.28916297944577
2,STARLINK-5574,37.2025385191609,866.5365933926341,32.06249600801434
2,STARLINK-32015,51.635332536300496,593.3942351490846,31.737031830090682
2,STARLINK-4589,53.87721958338669,654.6464979017252,31.37153710036295
2,STARLINK-31212,32.93077843045228,822.7191519814204,31.134719443500398
2,STARLINK-1328,29.42998577722183,712.9018338366209,31.107455423729483
2,STARLINK-30132,50.148767799769686,708.0281789998115,30.570716101270406
2,STARLINK-4508,67.38657163994674,580.6599350452701,30.278170696187864
2,STARLINK-34609,34.67169515907936,738.2804255466076,30.103896205715504
2,STARLINK-2092,47.241966253058855,721.5402507683448,29.73358262839472
2,STARLINK-33696,25.844420745795382,976.4318726141946,29.496088968687733
2,STARLINK-3862,51.39943607353985,674.3119741663096,29.24227563907887
2,STARLINK-3994,39.466001928487536,805.2410484321355,29.191816455332287
2,STARLINK-33606,29.94878321013191,881.0980769391177,29.081235579845938
2,STARLINK-6134,36.75660799503962,874.4745416604748,28.810711763914835
2,STARLINK-6097,26.96629860885642,1082.443476423618,28.762835631542778
2,STARLINK-30864,49.04954857817615,717.7958814682125,28.7343554110116
